AcademicYear	DistrictCode	DistrictName	SchoolCode	SchoolName	Lat	Long	NCESLocaleCode	NCESLocale	dRoadMapRegionFlag
2007	05402	Quillayute Valley School District	1500	Forks Alternative School	47.946100	-124.384200	33	Town: Remote	0
2010	05402	Quillayute Valley School District	1500	Forks Alternative School	47.945792	-124.383152	41	Rural: Fringe	0
2013	05402	Quillayute Valley School District	1500	Forks Alternative School	47.946060	-124.383851	33	Town: Remote	0
2007	17410	Snoqualmie Valley School District	1502	Two Rivers School	47.496110	-121.782540	31	Town: Fringe	0
2010	17410	Snoqualmie Valley School District	1502	Two Rivers School	47.496118	-121.782670	32	Town: Distant	0
2017	17410	Snoqualmie Valley School District	1502	Two Rivers School	47.496129	-121.782039	31	Town: Fringe	0
2011	34003	North Thurston Public Schools	1503	New Century High School	46.999725	-122.804800	3	Urban fringe of a large city	0
2014	34003	North Thurston Public Schools	1503	New Century High School	46.999725	-122.804800	3	Urban fringe of a large city	0
2008	13144	Quincy School District	1506	Quincy High Tech High	47.234260	-119.854700	32	Town: Distant	0
2011	13144	Quincy School District	1506	Quincy High Tech High	47.234343	-119.854840	32	Town: Distant	0
2014	13144	Quincy School District	1506	Quincy High Tech High	47.234100	-119.854300	32	Town: Distant	0
2005	39202	Toppenish School District	1508	Eagle High School	46.379460	-120.325570	4	Urban fringe of a midsize city	0
2008	39202	Toppenish School District	1508	Eagle High School	46.379440	-120.329900	31	Town: Fringe	0
2011	39202	Toppenish School District	1508	Eagle High School	46.377685	-120.335853	41	Rural: Fringe	0
2018	39202	Toppenish School District	1508	Computer Academy Toppenish High School	46.380651	-120.334320	32	Town: Distant	0
2009	27010	Tacoma School District	1509	Project Choice	47.258595	-122.445730	2	Midsize city	0
2012	27010	Tacoma School District	1509	Project Choice	47.258595	-122.445730	2	Midsize city	0
2005	27403	Bethel School District	1510	Challenger Secondary School	47.092850	-122.428400	3	Urban fringe of a large city	0
2008	27403	Bethel School District	1510	Challenger Secondary School	47.093720	-122.428400	21	Suburb: Large	0
2015	27403	Bethel School District	1510	Challenger High School	47.092412	-122.429690	21	Suburb: Large	0
2018	27403	Bethel School District	1510	Challenger High School	47.092412	-122.429690	21	Suburb: Large	0
2008	27010	Tacoma School District	1512	Tone School Project	47.218330	-122.476490	2	Midsize city	0
2012	27010	Tacoma School District	1512	Tone School Project	47.218330	-122.476490	2	Midsize city	0
2009	27010	Tacoma School District	1514	Alternative Spcl Needs Div Occ	47.255700	-122.447100	12	City: Midsize	0
2012	27010	Tacoma School District	1514	Alternative Spcl Needs Div Occ	47.256329	-122.445811	12	City: Midsize	0
2015	27010	Tacoma School District	1514	Alternative Spcl Needs Div Occ	47.256321	-122.445822	12	City: Midsize	0
2009	27010	Tacoma School District	1515	Tree Farm	46.999780	-122.359830	41	Rural: Fringe	0
2012	27010	Tacoma School District	1515	Tree Farm	46.999780	-122.359830	41	Rural: Fringe	0
2006	27401	Peninsula School District	1516	Henderson Bay Alt High School	47.334330	-122.603300	8	Rural, inside CBSA	0
2009	27401	Peninsula School District	1516	Henderson Bay Alt High School	47.334300	-122.603300	41	Rural: Fringe	0
2012	27401	Peninsula School District	1516	Henderson Bay Alt High School	47.333155	-122.603364	41	Rural: Fringe	0
2009	18402	South Kitsap School District	1517	Homebound	47.524673	-122.627660	3	Urban fringe of a large city	0
2006	13156	Soap Lake School District	1518	Smokiam Alternative High School	47.389510	-119.488050	7	Rural, outside CBSA	0
2013	13156	Soap Lake School District	1518	Smokiam Alternative High School	47.389589	-119.488210	42	Rural: Distant	0
2016	13156	Soap Lake School District	1518	Smokiam Alternative High School	47.389589	-119.488210	42	Rural: Distant	0
2010	31015	Edmonds School District	1519	Edmonds Independent Learning	47.813516	-122.325925	21	Suburb: Large	0
2013	31015	Edmonds School District	1519	Edmonds Independent Learning	47.813590	-122.326281	21	Suburb: Large	0
2016	31015	Edmonds School District	1519	Edmonds eLearning Academy	47.813488	-122.326125	21	Suburb: Large	0
2005	31015	Edmonds School District	1520	Challenge Elementary	47.792140	-122.306370	3	Urban fringe of a large city	0
2008	31015	Edmonds School District	1520	Challenge Elementary	47.792010	-122.306300	21	Suburb: Large	0
2011	31015	Edmonds School District	1520	Challenge Elementary	47.792075	-122.306226	21	Suburb: Large	0
2014	31015	Edmonds School District	1520	Challenge Elementary	47.792900	-122.307000	21	Suburb: Large	0
2007	17216	Enumclaw School District	1523	Special Ed School	47.187900	-122.007000	21	Suburb: Large	0
2014	17216	Enumclaw School District	1523	Special Ed School	47.188200	-122.006600	21	Suburb: Large	0
2017	17216	Enumclaw School District	1523	Special Ed School	47.188196	-122.006570	21	Suburb: Large	0
2010	29103	Anacortes School District	1525	Learning Opportunity Center	48.499579	-122.612766	32	Town: Distant	0
2013	29103	Anacortes School District	1525	Learning Opportunity Center	48.499579	-122.612766	32	Town: Distant	0
2006	17403	Renton School District	1527	Sartori Education Center	47.487470	-122.201310	2	Midsize city	1
2009	17403	Renton School District	1527	Sartori Education Center	47.487000	-122.200400	13	City: Small	1
2016	17403	Renton School District	1527	Sartori Education Center	47.487536	-122.200890	13	City: Small	1
2006	06112	Washougal School District	1528	Excelsior High School	45.586760	-122.326920	3	Urban fringe of a large city	0
2009	06112	Washougal School District	1528	Excelsior High School	45.587400	-122.326900	21	Suburb: Large	0
2012	06112	Washougal School District	1528	Excelsior High School	45.586760	-122.326900	21	Suburb: Large	0
2006	06114	Evergreen School District (Clark)	1530	Early Childhood Center	45.643070	-122.524300	2	Midsize city	0
2012	06114	Evergreen School District (Clark)	1530	Early Childhood Center	45.640443	-122.524425	12	City: Midsize	0
2015	06114	Evergreen School District (Clark)	1530	Early Childhood Center	45.640930	-122.533301	12	City: Midsize	0
2009	32081	Spokane School District	1533	A-3 Multiagency Adolescent Prog	47.656300	-117.408700	12	City: Midsize	0
2012	32081	Spokane School District	1533	A-3 Multiagency Adolescent Prog	47.683414	-117.400778	12	City: Midsize	0
2015	32081	Spokane School District	1533	A-3 Multiagency Adolescent Prog	47.683100	-117.400461	12	City: Midsize	0
2018	32081	Spokane School District	1533	A-3 Multiagency Adolescent Prog	47.674349	-117.417810	12	City: Midsize	0
2010	17403	Renton School District	1534	Griffin Home	47.514012	-122.204560	13	City: Small	1
2013	17403	Renton School District	1534	Griffin Home	47.514070	-122.203851	13	City: Small	1
2016	17403	Renton School District	1534	Griffin Home	47.514542	-122.204420	13	City: Small	1
2013	17001	Seattle Public Schools	1536	Interagency King C W T Career Development	47.560810	-122.292520	1	Large city	0
2006	29101	Sedro-Woolley School District	1537	State Street High School	48.503500	-122.228300	4	Urban fringe of a midsize city	0
2013	29101	Sedro-Woolley School District	1537	State Street High School	48.503390	-122.227981	23	Suburb: Small	0
2016	29101	Sedro-Woolley School District	1537	State Street High School	48.503655	-122.227837	23	Suburb: Small	0
2006	13301	Grand Coulee Dam School District	1538	Skilskin High School	47.933840	-118.999600	7	Rural, outside CBSA	0
2009	13301	Grand Coulee Dam School District	1538	Skilskin High School	47.934000	-118.999900	43	Rural: Remote	0
2012	13301	Grand Coulee Dam School District	1538	Skilskin High School	47.934000	-118.999900	43	Rural: Remote	0
2006	17401	Highline Public Schools	1539	Manhattan Learning Center	47.436350	-122.329160	3	Urban fringe of a large city	1
2009	17401	Highline Public Schools	1539	CHOICE Academy	47.436500	-122.328100	21	Suburb: Large	1
2016	17401	Highline Public Schools	1539	CHOICE Academy	47.438000	-122.325021	21	Suburb: Large	1
2005	17411	Issaquah School District	1540	Tiger Mountain Community High School	47.525360	-122.030930	3	Urban fringe of a large city	0
2008	17411	Issaquah School District	1540	Tiger Mountain Community High School	47.525360	-122.030900	21	Suburb: Large	0
2015	17411	Issaquah School District	1540	Tiger Mountain Community High School	47.525412	-122.031361	21	Suburb: Large	0
2007	27416	White River School District	1544	Collins Alternative Programs	47.163660	-121.996540	21	Suburb: Large	0
