DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
18100	Bremerton School District	3641	Armin Jahr Elementary	0
31015	Edmonds School District	3560	Alderwood Middle School	0
06801	Educational Service District 112	5398	ESD 112 Open Doors Reengagement	0
31002	Everett School District	4437	Gateway Middle School	0
17417	Northshore School District	4355	Frank Love Elementary	0
25101	Ocean Beach School District	4039	Ocean Park Elementary	0
13160	Royal School District	3516	Royal High School	0
23309	Shelton School District	4586	Olympic Middle School	0
50005	Skills Centers	4019	Sno-Isle Skills Center 	0
11054	Star School District No. 054	2007	Star Elem School	0
27010	Tacoma School District	2940	Arlington	0
50004	Unaffiliated Colleges/Universities	5952	Green River Community College	0
17408	Auburn School District	3669	Gildo Rey Elementary School	1
17417	Northshore School District	3105	Crystal Springs Elementary	0
27001	Steilacoom Hist. School District	5389	Birth to Three	0
32363	West Valley School District (Spokane)	3538	Centennial Middle School	0
19404	Cle Elum-Roslyn School District	4434	Cle Elum-Roslyn Elementary	0
24111	Brewster School District	5272	Brewster Alternative School	0
15204	Coupeville School District	3664	Coupeville Elementary School	0
14005	Aberdeen School District	4267	Grays Harbor Juvenile Detention	0
08458	Kelso School District	2266	Kelso High School	0
26070	Selkirk School District	5075	Selkirk Elementary	0
39201	Sunnyside School District	5049	Sierra Vista Middle School	0
29100	Burlington-Edison School District	1928	Burlington-Edison Alternative School	0
17411	Issaquah School District	4565	Cascade Ridge Elementary	0
12110	Pomeroy School District	3087	Pomeroy Elementary School	0
31201	Snohomish School District	1904	Parent Partnership	0
17946	South Seattle Community College (CC Dist #6)	5962	SSCC High School Completion	0
17216	Enumclaw School District	1984	Muckleshoot Tribal Elementary School K-5	0
17401	Highline Public Schools	2927	Sylvester Middle School	1
08122	Longview School District	2726	Olympic Elementary School	0
11001	Pasco School District	2967	Emerson Elementary	0
13160	Royal School District	3090	Red Rock Elementary	0
32363	West Valley School District (Spokane)	2956	Seth Woodard Elementary	0
18303	Bainbridge Island School District	4062	Ordway Elementary	0
27403	Bethel School District	5025	SpEd Preschool	0
27010	Tacoma School District	2376	Mason	0
19401	Ellensburg School District	2453	Morgan Middle School	0
34975	WA State Center for Childhood Deafness and Hearing Loss	4246	Washington State School for the Deaf	0
31006	Mukilteo School District	3120	Olympic View Middle School	0
05323	Sequim School District	4378	Greywolf Elementary School	0
37501	Bellingham School District	3201	Shuksan Middle School	0
31002	Everett School District	1663	NW Learning Center	0
31332	Granite Falls School District	4113	Granite Falls Middle School	0
17401	Highline Public Schools	5063	Academy of Citizenship and Empowerment	1
17411	Issaquah School District	3746	Apollo Elementary	0
03017	Kennewick School District	4202	Cascade Elementary School	0
